"","sample_id","donor_id","type","paper"
"1","GSM4653855","AD1","AD_UT","GSE153760"
"2","GSM4653856","AD2","AD_UT","GSE153760"
"3","GSM4653857","AD3","AD_UT","GSE153760"
"4","GSM4653858","AD4","AD_UT","GSE153760"
"5","GSM4653864","HC2","HC","GSE153760"
"6","GSM4653865","HC3","HC","GSE153760"
"7","GSM4653866","HC4","HC","GSE153760"
"8","GSM4653867","HC5","HC","GSE153760"
"9","GSM4800170","AD10","AD_16w","GSE158432"
"10","GSM4800171","AD11","AD_16w","GSE158432"
"11","GSM4800172","AD12","AD_16w","GSE158432"
"12","GSM4800173","AD13","AD_UT","GSE158432"
"13","GSM4800174","AD14","AD_1y","GSE158432"
"14","GSM4800175","AD15","AD_1y","GSE158432"
"15","GSM4800176","AD16","AD_1y","GSE158432"
"16","GSM4800177","AD17","AD_16w","GSE158432"
"17","GSM4800178","AD18","AD_16w","GSE158432"
"18","GSM4800179","AD19","AD_1y","GSE158432"
