ccm_exclude,ccm_meta,ccm_meta_pca,ccm_annotate,dataset_id,experiment_id,platform_id,asset_id,asset_data_access,effect_id,model_type,comparison,comparison_levels,model_group,model_pairing,model_covariates,model_timepoint,model_exclude_samples,comments,sample_tissue,tissue,condition
,0,-1,none,DKD_AMP2_raw__rnaseq,DKD_AMP2_raw,rnaseq,ccw://wf-4fa7eb0f22:0:DKD_AMP2_raw_with_log.RDS,public,DKD_Chronic_Kidney_Disease,Group,DKD_vs_chronic_Kidney_Disease,,"condition:{DZ:diabetic kidney disease,chronic_kidney_disease:chronic kidney disease}",,,,DSR783MHV,NA,,kidney,diabetic kidney disease
,0,-1,none,DKD_AMP2_raw__rnaseq,DKD_AMP2_raw,rnaseq,ccw://wf-4fa7eb0f22:0:DKD_AMP2_raw_with_log.RDS,public,DKD_Renal_Hypertension,Group,DKD_vs_Renal_Hypertension,,"condition:{DZ:diabetic kidney disease,renal_hypertension:hypertension}",,,,DSR783MHV,issue with annotations,,kidney,diabetic kidney disease
,1,1,none,DKD_AMP2_raw__rnaseq,DKD_AMP2_raw,rnaseq,ccw://wf-4fa7eb0f22:0:DKD_AMP2_raw_with_log.RDS,public,DKD,DZvsHC,DZ_vs_HC,,"condition:{HC:control,DZ:diabetic kidney disease}",,,,DSR783MHV,NA,,kidney,diabetic kidney disease
,0,-1,none,DKD_AMP2_raw__rnaseq,DKD_AMP2_raw,rnaseq,ccw://wf-4fa7eb0f22:0:DKD_AMP2_raw_with_log.RDS,public,DKD_diabetes_mellitus,Group,DKD_vs_diabetes_mellitus,,"condition:{DZ:diabetic kidney disease,diabetes_mellitus:diabetes mellitus}",,,,DSR783MHV,NA,,kidney,diabetic kidney disease
,0,-1,none,DKD_Karolinske__rnase,DKD_Karolinske,rnaseq,ccw://wf-ee7161ebc4:0:DKD_Karolinske_with_log.RDS,public,DKD_DZ_tissue,Group,DZ_VS_DZ_tissue,"subtissue@condition_tissue:{renal_glomerulus: diabetic_kidney_disease_renal_glomerulus, renal_tubule: diabetic_kidney_disease_renal_tubule}","condition_tissue:{DZ_glome:diabetic_kidney_disease_renal_glomerulus,DZ_tubule:diabetic_kidney_disease_renal_tubule}",,,,,NA,,kidney,diabetic kidney disease
,1,-1,none,DKD_Karolinske__rnase,DKD_Karolinske,rnaseq,ccw://wf-ee7161ebc4:0:DKD_Karolinske_with_log.RDS,public,DKD_Glomerulus,Group,DZ_vs_HC_Glomerulus,,"condition_tissue:{HC_glome:healthy_renal_glomerulus,DZ_glome:diabetic_kidney_disease_renal_glomerulus}",,,,,NA,,kidney,diabetic kidney disease
,0,-1,none,DKD_Karolinske__rnase,DKD_Karolinske,rnaseq,ccw://wf-ee7161ebc4:0:DKD_Karolinske_with_log.RDS,public,DKD_HC_tissue,Group,HC_VS_HC_tissue,"subtissue@condition_tissue:{renal_glomerulus: healthy_renal_glomerulus, renal_tubule: healthy_renal_tubule}","condition_tissue:{HC_glome:healthy_renal_glomerulus,HC_tubule:healthy_renal_tubule}",,,,,NA,,kidney,diabetic kidney disease
,1,-1,none,DKD_Karolinske__rnase,DKD_Karolinske,rnaseq,ccw://wf-ee7161ebc4:0:DKD_Karolinske_with_log.RDS,public,DKD_Tubule,Group,DZ_vs_HC_Tubule,,"condition_tissue:{HC_tubule:healthy_renal_tubule,DZ_tubule:diabetic_kidney_disease_renal_tubule}",,,,,NA,,kidney,diabetic kidney disease
,1,1,none,DKD_Karolinske__rnase,DKD_Karolinske,rnaseq,ccw://wf-ee7161ebc4:0:DKD_Karolinske_with_log.RDS,public,DKD,DZvsHC,DZ_vs_HC,,"condition:{HC:healthy,DZ:diabetic kidney disease}",,,,,NA,,kidney,diabetic kidney disease
,1,1,all,GSE111154__GPL17586,GSE111154,GPL17586,crv://GSE111154_mg4X2/GPL17586,public,DKD,DZvsHC,DZ_vs_HC,,"group__DKD_vs_HC:{HC:A,DZ:B}",,,,,DKD patients are also have type 2 diabetes mellitus,,kidney,diabetic kidney disease
